Entity,Code,Day,Pfizer/BioNTech,Moderna,Oxford/AstraZeneca,Johnson&Johnson,Sputnik V,Sinovac,Sinopharm/Beijing,CanSino,Novavax,Covaxin
Argentina,ARG,2020-12-29,0,2,6,0,20484,0,2,0,0,0
Argentina,ARG,2020-12-30,0,2,6,0,40586,0,2,0,0,0
Argentina,ARG,2020-12-31,0,2,6,0,43392,0,2,0,0,0
Argentina,ARG,2021-01-01,0,2,8,0,43517,0,2,0,0,0
Argentina,ARG,2021-01-02,0,2,9,0,46828,0,2,0,0,0
Argentina,ARG,2021-01-03,0,2,9,0,47270,0,2,0,0,0
Argentina,ARG,2021-01-04,0,2,9,0,57730,0,2,0,0,0
Argentina,ARG,2021-01-05,0,2,9,0,68454,0,6,0,0,0
Argentina,ARG,2021-01-06,0,2,9,0,78559,0,9,0,0,0
Argentina,ARG,2021-01-07,0,2,10,0,96780,0,9,0,0,0
Argentina,ARG,2021-01-08,0,2,10,0,124664,0,9,0,0,0
Argentina,ARG,2021-01-09,0,2,10,0,134871,0,10,0,0,0
Argentina,ARG,2021-01-10,0,2,10,0,136045,0,11,0,0,0
Argentina,ARG,2021-01-11,0,2,11,0,155868,0,12,0,0,0
Argentina,ARG,2021-01-12,1,2,12,0,175252,0,15,0,0,0
Argentina,ARG,2021-01-13,1,2,12,0,192014,0,19,0,0,0
Argentina,ARG,2021-01-14,1,2,12,0,208659,0,20,0,0,0
Argentina,ARG,2021-01-15,1,2,12,0,226100,0,20,0,0,0
Argentina,ARG,2021-01-16,1,2,12,0,231983,0,20,0,0,0
Argentina,ARG,2021-01-17,1,2,12,0,233045,0,20,0,0,0
Argentina,ARG,2021-01-18,1,2,12,0,242877,0,20,0,0,0
Argentina,ARG,2021-01-19,1,2,12,0,256123,0,21,0,0,0
Argentina,ARG,2021-01-20,1,2,12,0,275547,0,21,0,0,0
Argentina,ARG,2021-01-21,1,2,17,0,289656,0,23,0,0,0
Argentina,ARG,2021-01-22,1,2,20,0,298870,0,24,0,0,0
Argentina,ARG,2021-01-23,1,2,25,0,302810,0,24,0,0,0
Argentina,ARG,2021-01-24,1,2,26,0,303112,0,24,0,0,0
Argentina,ARG,2021-01-25,1,2,34,0,317315,0,24,0,0,0
Argentina,ARG,2021-01-26,1,2,72,0,330086,0,25,0,0,0
Argentina,ARG,2021-01-27,1,2,74,0,340189,0,25,0,0,0
Argentina,ARG,2021-01-28,1,2,74,0,356238,0,25,0,0,0
Argentina,ARG,2021-01-29,1,2,75,0,379736,0,25,0,0,0
Argentina,ARG,2021-01-30,1,2,75,0,389049,0,25,0,0,0
Argentina,ARG,2021-01-31,1,2,75,0,389672,0,26,0,0,0
Argentina,ARG,2021-02-01,1,2,93,0,409178,0,26,0,0,0
Argentina,ARG,2021-02-02,1,2,126,0,433020,0,26,0,0,0
Argentina,ARG,2021-02-03,1,2,134,0,459620,0,29,0,0,0
Argentina,ARG,2021-02-04,1,2,139,0,487716,0,52,0,0,0
Argentina,ARG,2021-02-05,1,2,144,0,520732,0,59,2,0,0
Argentina,ARG,2021-02-06,1,2,144,0,531654,0,63,2,0,0
Argentina,ARG,2021-02-07,1,2,144,0,533033,0,67,2,0,0
Argentina,ARG,2021-02-08,1,2,146,0,556451,0,68,2,0,0
Argentina,ARG,2021-02-09,1,2,148,0,576639,0,74,2,0,0
Argentina,ARG,2021-02-10,1,2,151,0,592255,0,79,2,0,0
Argentina,ARG,2021-02-11,1,2,154,0,610099,0,85,2,0,0
Argentina,ARG,2021-02-12,1,2,155,0,625929,0,86,2,0,0
Argentina,ARG,2021-02-13,1,2,157,0,628961,0,88,2,0,0
Argentina,ARG,2021-02-14,1,2,157,0,629111,0,90,2,0,0
Argentina,ARG,2021-02-15,1,2,157,0,630425,0,92,2,0,0
Argentina,ARG,2021-02-16,1,2,169,0,631722,0,94,2,0,0
Argentina,ARG,2021-02-17,1,2,180,0,656104,0,97,2,0,0
Argentina,ARG,2021-02-18,1,2,211,0,719887,0,101,2,0,0
Argentina,ARG,2021-02-19,1,2,394,0,787581,0,101,2,0,0
Argentina,ARG,2021-02-20,1,2,542,0,820048,0,102,2,0,0
Argentina,ARG,2021-02-21,1,2,941,0,839824,0,102,2,0,0
Argentina,ARG,2021-02-22,1,2,23520,0,884789,0,102,2,0,0
Argentina,ARG,2021-02-23,1,2,73698,0,921544,0,104,2,0,0
Argentina,ARG,2021-02-24,1,2,135744,0,953282,0,107,2,0,0
Argentina,ARG,2021-02-25,1,58,188878,0,979585,0,111,2,0,0
Argentina,ARG,2021-02-26,1,58,244914,0,1005213,0,120,2,0,0
Argentina,ARG,2021-02-27,1,58,258245,0,1009768,0,121,2,0,0
Argentina,ARG,2021-02-28,1,58,263588,0,1010545,0,122,2,0,0
Argentina,ARG,2021-03-01,1,58,316896,0,1031085,0,824,2,0,0
